       276 read  addr:80000886 rdata:6c6c6548 sel:0100  (pc:800006e8 instr:00058683)
       277 write addr:10000000 wdata:0000006c sel:0001  (pc:800006f4 instr:00d50023)
       281 read  addr:80000887 rdata:6c6c6548 sel:1000  (pc:800006e8 instr:00058683)
       282 write addr:10000000 wdata:0000006c sel:0001  (pc:800006f4 instr:00d50023)
       286 read  addr:80000888 rdata:6f77206f sel:0001  (pc:800006e8 instr:00058683)
       287 write addr:10000000 wdata:0000006f sel:0001  (pc:800006f4 instr:00d50023)
       291 read  addr:80000889 rdata:6f77206f sel:0010  (pc:800006e8 instr:00058683)
       292 write addr:10000000 wdata:00000020 sel:0001  (pc:800006f4 instr:00d50023)
       296 read  addr:8000088a rdata:6f77206f sel:0100  (pc:800006e8 instr:00058683)
       297 write addr:10000000 wdata:00000077 sel:0001  (pc:800006f4 instr:00d50023)
       301 read  addr:8000088b rdata:6f77206f sel:1000  (pc:800006e8 instr:00058683)
       302 write addr:10000000 wdata:0000006f sel:0001  (pc:800006f4 instr:00d50023)
       306 read  addr:8000088c rdata:21646c72 sel:0001  (pc:800006e8 instr:00058683)
       307 write addr:10000000 wdata:00000072 sel:0001  (pc:800006f4 instr:00d50023)
       311 read  addr:8000088d rdata:21646c72 sel:0010  (pc:800006e8 instr:00058683)
       312 write addr:10000000 wdata:0000006c sel:0001  (pc:800006f4 instr:00d50023)
       316 read  addr:8000088e rdata:21646c72 sel:0100  (pc:800006e8 instr:00058683)
       317 write addr:10000000 wdata:00000064 sel:0001  (pc:800006f4 instr:00d50023)
       321 read  addr:8000088f rdata:21646c72 sel:1000  (pc:800006e8 instr:00058683)
       322 write addr:10000000 wdata:00000021 sel:0001  (pc:800006f4 instr:00d50023)
       326 read  addr:80000890 rdata:0000000a sel:0001  (pc:800006e8 instr:00058683)
       327 write addr:10000000 wdata:0000000a sel:0001  (pc:800006f4 instr:00d50023)
       334 read  addr:8000d9a4 rdata:80000248 sel:1111  (pc:80006480 instr:04c12083)
       335 read  addr:8000d9a0 rdata:80000920 sel:1111  (pc:80006484 instr:04812403)
       336 read  addr:8000d99c rdata:8000d9b8 sel:1111  (pc:80006488 instr:04412483)
